"FONDSID";"FST_FONDSTYPE_NR";"VAL_VALUTACODE";"FONDSNAAM";"NAAM_KORT";"SYMBOOL";"SYMBOOL_LONG";"CFI_CODE";"ISIN";"RECONCILIATIEISIN";"TICKER";"SYMBOLINDEX";"CUISP";"RIC";"BLOOMBERG";"MIC";"EXCANGE_SEGMENT";"EOD_DATETIME";"EXCANGE_NAME";"EXCANGE_TIMEZONE"
"2198895";"1000";"EUR";"STOXX Europe 600 Insurance";"STOXX Europe 600 Ins";"JVZ5";"JVZ5";"";"EU0009658822";"";"";"";"";"";"";"XEUR";"Eurex";"7-12-2021 22:04:00";"Eurex";"W. Europe Standard Time"
"2198896";"1000";"EUR";"STOXX Europe 600 Basic Resources";"STOXX Europe 600 Bas";"JSZ5";"JSZ5";"";"EU0009658624";"";"";"";"";"";"";"XEUR";"Eurex";"7-12-2021 22:04:00";"Eurex";"W. Europe Standard Time"
"2198900";"1000";"EUR";"STOXX Europe 600 Industrial Goods & Serv";"STOXX Europe 600 Ind";"QBZ5";"QBZ5";"";"EU0009658905";"";"";"";"";"";"";"XEUR";"Eurex";"7-12-2021 22:04:00";"Eurex";"W. Europe Standard Time"
"959579";"1050";"USD";"PDX";"PDX";"PDX";"PDX";"";"";"";"";"";"";"";"";"XAMS";"Euronext Amsterdam securities";"7-12-2021 17:40:00";"Euronext Amsterdam securities";"W. Europe Standard Time"
"959576";"1050";"EUR";"GBP / EUR";"GBP / EUR";"GBPEUR";"GBPEUR";"";"";"";"";"";"";"";"";"XAMS";"Euronext Amsterdam securities";"7-12-2021 17:40:00";"Euronext Amsterdam securities";"W. Europe Standard Time"
"959577";"1050";"EUR";"PEX";"PEX";"PEX";"PEX";"";"";"";"";"";"";"";"";"XAMS";"Euronext Amsterdam securities";"7-12-2021 17:40:00";"Euronext Amsterdam securities";"W. Europe Standard Time"
"1878426";"1050";"USD";"M6E micro EUR / USD Future";"M6E micro EUR / USD";"M6E.IND";"M6E.IND";"";"";"";"";"";"";"";"";"-";"Indices";"7-12-2021 23:00:00";"Indices";"W. Europe Standard Time"
"973196";"1000";"EUR";"MFA";"MFA";"MFA.IND";"MFA.IND";"";"";"";"";"";"";"";"";"XAMS";"Euronext Amsterdam securities";"7-12-2021 17:40:00";"Euronext Amsterdam securities";"W. Europe Standard Time"
"852161";"1050";"NZD";"New Zealand Dollar (EUR / NZD)";"EUR / NZD";"EURNZD";"EURNZD";"";"";"";"";"";"";"";"";"-";"ForEx";"7-12-2021 23:59:59";"Indices";"W. Europe Standard Time"
"852162";"1050";"PHP";"Philippines Peso (EUR / PHP)";"EUR / PHP";"EURPHP";"EURPHP";"";"";"";"";"";"";"";"";"-";"ForEx";"7-12-2021 23:59:59";"Indices";"W. Europe Standard Time"
"863341";"1050";"USD";"JPY / USD";"JPY / USD";"JPYUSD";"JPYUSD";"";"";"";"";"";"";"";"";"-";"Indices";"7-12-2021 23:00:00";"Indices";"W. Europe Standard Time"
"863342";"1050";"USD";"AUD / USD";"AUD / USD";"AUDUSD";"AUDUSD";"";"XC000A0E4TC6";"";"";"";"";"";"";"-";"ForEx";"7-12-2021 23:59:59";"Indices";"W. Europe Standard Time"
